time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,-1.450841,0.08635,-0.065408,0.022549,-0.671148,1.312423,-1.463279,-60.297006,116.41531,-137.377918
0.01,0.0,0.079684,-0.052693,0.008877,-0.662195,1.232706,-1.276425,0.834435,-7.349191,17.161185
0.02,0.0,0.073102,-0.040714,-0.003076,-0.654424,1.16494,-1.118695,0.720924,-6.221289,14.431754
0.03,0.0,0.066592,-0.029358,-0.013582,-0.647743,1.107828,-0.986557,0.616416,-5.216776,12.038158
0.04,0.0,0.060144,-0.018526,-0.022882,-0.642065,1.0602,-0.876834,0.520324,-4.322556,9.94413
0.05,0.0,0.053748,-0.008126,-0.031184,-0.637308,1.02102,-0.786709,0.431908,-3.52561,8.113944
0.06,0.0,0.047395,0.00192,-0.038673,-0.633401,0.989377,-0.713712,0.350372,-2.813622,6.514019
0.07,0.0,0.041077,0.011684,-0.045508,-0.630279,0.964478,-0.655698,0.274926,-2.175291,5.113687
0.08,0.0,0.034787,0.02123,-0.051831,-0.627883,0.945639,-0.610809,0.204822,-1.600445,3.885465
0.09,0.0,0.028517,0.030615,-0.057763,-0.626165,0.93227,-0.577448,0.139369,-1.08005,2.805041
0.1,0.0,0.022261,0.039892,-0.063413,-0.625081,0.923867,-0.554245,0.077941,-0.606156,1.851095
0.11,0.0,0.016014,0.049107,-0.068878,-0.624593,0.920001,-0.540031,0.019983,-0.171806,1.005054
0.12,0.0,0.009768,0.058305,-0.074241,-0.62467,0.920308,-0.533807,-0.034993,0.229054,0.250818
0.13,0.0,0.003518,0.067526,-0.079578,-0.625284,0.924478,-0.534728,-0.087415,0.601679,-0.425515
0.14,0.0,-0.00274,0.076807,-0.084956,-0.62641,0.932254,-0.542075,-0.137649,0.950612,-1.035904
0.15,0.0,-0.009012,0.086183,-0.090438,-0.62803,0.943417,-0.555241,-0.186008,1.279767,-1.590594
0.16,0.0,-0.015302,0.095686,-0.096079,-0.630125,0.957788,-0.573714,-0.232755,1.592507,-2.098321
0.17,0.0,-0.021616,0.105349,-0.101929,-0.63268,0.975217,-0.597062,-0.278105,1.891705,-2.56649
0.18,0.0,-0.027957,0.1152,-0.108035,-0.635682,0.99558,-0.62492,-0.322231,2.179801,-3.001328
0.19,0.0,-0.034331,0.12527,-0.114441,-0.63912,1.018778,-0.656984,-0.365266,2.458846,-3.408012
0.2,0.0,-0.040741,0.135585,-0.121188,-0.642984,1.044729,-0.692992,-0.407302,2.730546,-3.790777
0.21,0.0,-0.047192,0.146173,-0.128314,-0.647263,1.073367,-0.732724,-0.448397,2.996291,-4.153011
0.22,0.0,-0.053687,0.157061,-0.135854,-0.651948,1.104636,-0.775987,-0.488573,3.257184,-4.497324
0.23,0.0,-0.060232,0.168275,-0.143845,-0.657031,1.138495,-0.822613,-0.527816,3.514066,-4.825615
0.24,0.0,-0.066829,0.179839,-0.152317,-0.662501,1.174905,-0.872447,-0.566079,3.76753,-5.139119
0.25,0.0,-0.073483,0.191781,-0.161304,-0.668349,1.213834,-0.925345,-0.603281,4.017942,-5.438457
0.26,0.0,-0.080198,0.204124,-0.170834,-0.674563,1.255253,-0.981167,-0.63931,4.265453,-5.723667
0.27,0.0,-0.086976,0.216894,-0.180936,-0.681131,1.299133,-1.03977,-0.67402,4.510017,-5.994244
0.28,0.0,-0.093821,0.230115,-0.191638,-0.688038,1.345443,-1.101001,-0.707234,4.751399,-6.249173
0.29,0.0,-0.100738,0.243811,-0.202965,-0.69527,1.394149,-1.164698,-0.738747,4.989195,-6.486966
0.3,0.0,-0.107728,0.258006,-0.21494,-0.702807,1.445213,-1.230679,-0.768324,5.222849,-6.705704
0.31,0.0,-0.114795,0.272723,-0.227585,-0.710629,1.498591,-1.298744,-0.795705,5.451673,-6.903082
0.32,0.0,-0.121941,0.287985,-0.240921,-0.718713,1.554229,-1.368665,-0.820607,5.674867,-7.076469
0.33,0.0,-0.12917,0.303815,-0.254964,-0.727032,1.612068,-1.440189,-0.842729,5.891552,-7.22297
0.34,0.0,-0.136483,0.320234,-0.269729,-0.735557,1.672037,-1.513031,-0.861756,6.100797,-7.339501
0.35,0.0,-0.143881,0.337263,-0.285228,-0.744256,1.734058,-1.586876,-0.877361,6.301655,-7.422876
0.36,0.0,-0.151368,0.354922,-0.301469,-0.753092,1.798042,-1.661376,-0.889218,6.493201,-7.469893
0.37,0.0,-0.158944,0.37323,-0.318456,-0.762027,1.863891,-1.736152,-0.897,6.674567,-7.477435
0.38,0.0,-0.166609,0.392205,-0.336191,-0.771018,1.9315,-1.810794,-0.900391,6.844983,-7.442566
0.39,0.0,-0.174364,0.411865,-0.35467,-0.780019,2.000756,-1.884864,-0.899085,7.003813,-7.362623
0.4,0.0,-0.182209,0.432225,-0.373885,-0.788983,2.07154,-1.957901,-0.892798,7.150583,-7.235299
0.41,0.0,-0.190143,0.453301,-0.393823,-0.797858,2.14373,-2.029419,-0.881268,7.285007,-7.05872
0.42,0.0,-0.198166,0.475104,-0.414467,-0.806591,2.217203,-2.09892,-0.864259,7.407005,-6.831488
0.43,0.0,-0.206275,0.497649,-0.435793,-0.815125,2.291834,-2.165891,-0.841559,7.516705,-6.55272
0.44,0.0,-0.214467,0.520944,-0.457774,-0.823403,2.367502,-2.229816,-0.812986,7.614441,-6.222047
0.45,0.0,-0.222742,0.545002,-0.480378,-0.831365,2.444089,-2.290174,-0.77838,7.700735,-5.8396
0.46,0.0,-0.231093,0.569829,-0.503564,-0.83895,2.521486,-2.346452,-0.737604,7.776273,-5.405964
0.47,1.998534,-0.235909,0.590751,-0.525396,-0.125969,1.675233,-2.049865,70.778745,-81.217461,21.251527
0.48,0.0,-0.237235,0.608071,-0.546621,-0.139151,1.788132,-2.193076,-1.286506,11.142781,-13.711106
0.49,0.0,-0.23869,0.626505,-0.569218,-0.151695,1.898218,-2.324336,-1.221843,10.879005,-12.547881
0.5,0.0,-0.240267,0.646027,-0.59307,-0.163583,2.005829,-2.444241,-1.155456,10.64752,-11.438453
0.51,0.0,-0.241959,0.666614,-0.618066,-0.174798,2.111275,-2.553275,-1.087022,10.445513,-10.372469
0.52,0.0,-0.24376,0.688246,-0.644101,-0.185316,2.214838,-2.651828,-1.016211,10.270581,-9.340852
0.53,0.0,-0.245663,0.710905,-0.671069,-0.195113,2.316777,-2.740203,-0.942685,10.120691,-8.335673
0.54,0.0,-0.24766,0.734577,-0.698871,-0.20416,2.417336,-2.818627,-0.866098,9.994114,-7.350013
0.55,0.0,-0.249744,0.759248,-0.727409,-0.212424,2.516738,-2.887266,-0.786093,9.889368,-6.377806
0.56,0.0,-0.251906,0.784909,-0.756585,-0.21987,2.615197,-2.946227,-0.7023,9.805142,-5.413679
0.57,0.0,-0.254138,0.81155,-0.786302,-0.226457,2.712911,-2.995566,-0.614333,9.740234,-4.452817
0.58,0.0,-0.256432,0.839165,-0.816464,-0.232142,2.810067,-3.035294,-0.521792,9.693491,-3.49083
0.59,0.0,-0.258778,0.86775,-0.846975,-0.236876,2.906841,-3.065379,-0.424262,9.663744,-2.523649
0.6,0.0,-0.261166,0.897301,-0.877739,-0.240609,3.003398,-3.085749,-0.321314,9.649758,-1.547434
0.61,0.0,-0.263586,0.927818,-0.908658,-0.243283,3.099888,-3.096296,-0.212511,9.65018,-0.558502
0.62,0.0,-0.266028,0.959299,-0.939632,-0.244839,3.196447,-3.096875,-0.097415,9.663487,0.446727
0.63,0.0,-0.268479,0.991747,-0.970561,-0.245209,3.293197,-3.087305,0.02441,9.687941,1.471773
0.64,0.0,-0.270928,1.025164,-1.001343,-0.244327,3.390239,-3.06737,0.153383,9.721541,2.520128
0.65,0.0,-0.273361,1.059553,-1.031873,-0.242117,3.487653,-3.03682,0.289896,9.761972,3.595281
0.66,0.0,-0.275766,1.094919,-1.062043,-0.238503,3.585494,-2.99537,0.434301,9.806556,4.700739
0.67,0.0,-0.278126,1.131265,-1.091743,-0.233404,3.68379,-2.942698,0.586889,9.852193,5.84005
0.68,0.0,-0.280428,1.168596,-1.120859,-0.226737,3.782532,-2.878449,0.747877,9.8953,7.016823
0.69,0.0,-0.282656,1.206917,-1.149272,-0.218418,3.881675,-2.802229,0.917381,9.931743,8.234758
0.7,0.0,-0.284791,1.24623,-1.176862,-0.208361,3.98113,-2.713608,1.095395,9.956762,9.497681
0.71,0.0,-0.286817,1.28654,-1.203502,-0.196482,4.080755,-2.612116,1.281766,9.964885,10.809587
0.72,0.0,-0.288714,1.327845,-1.22906,-0.182699,4.180352,-2.497243,1.476167,9.949833,12.174694
0.73,0.0,-0.290464,1.370146,-1.2534,-0.166934,4.279653,-2.368433,1.678069,9.904421,13.597499
0.74,0.0,-0.292046,1.413436,-1.27638,-0.149115,4.378314,-2.225087,1.886715,9.820438,15.08285
0.75,0.0,-0.293439,1.457709,-1.297851,-0.12918,4.475903,-2.066553,2.101091,9.688538,16.63601
0.76,0.0,-0.294623,1.502949,-1.317658,-0.107078,4.571891,-1.892124,2.319908,9.498117,18.262725
0.77,0.0,-0.295574,1.549139,-1.335638,-0.082772,4.665632,-1.701035,2.541576,9.2372,19.969271
0.78,0.0,-0.296271,1.596252,-1.35162,-0.056243,4.756357,-1.492453,2.764199,8.892351,21.76248
0.79,0.0,-0.296691,1.644253,-1.365426,-0.027492,4.843151,-1.265475,2.985575,8.448616,23.649729
0.8,0.0,-0.296813,1.693098,-1.376865,0.003456,4.924946,-1.019121,3.203209,7.889526,25.638864
0.81,0.0,-0.296615,1.742731,-1.38574,0.036551,5.000499,-0.752333,3.414352,7.19721,27.738062
0.82,0.0,-0.296075,1.793083,-1.39184,0.071712,5.068383,-0.463969,3.616069,6.35263,29.955591
0.83,0.0,-0.295174,1.844068,-1.394944,0.108831,5.126977,-0.152803,3.805337,5.336027,32.299471
0.84,0.0,-0.293892,1.895585,-1.394816,0.147767,5.174462,0.182464,3.979196,4.127603,34.777027
0.85,0.0,-0.292213,1.947513,-1.391209,0.188354,5.208823,0.543201,4.134946,2.70853,37.394343
0.86,0.0,-0.290121,1.999711,-1.383862,0.230399,5.227869,0.930829,4.270402,1.062301,40.155644
0.87,0.0,-0.287601,2.052012,-1.372498,0.27369,5.229261,1.3468,4.384206,-0.823523,43.062647
0.88,0.0,-0.284643,2.104229,-1.356827,0.31801,5.210565,1.792565,4.476193,-2.95521,46.113956
0.89,0.0,-0.281238,2.156148,-1.336543,0.363145,5.169326,2.269548,4.547787,-5.330455,49.304526
0.9,0.0,-0.277378,2.207532,-1.311327,0.408908,5.103165,2.779098,4.602402,-7.935815,52.625192
0.91,0.0,-0.273058,2.258121,-1.280848,0.455155,5.009903,3.322453,4.645819,-10.74412,56.062079
0.92,0.0,-0.268274,2.307634,-1.244762,0.501813,4.887714,3.900682,4.686499,-13.711989,59.595382
0.93,0.0,-0.263021,2.355774,-1.202716,0.548911,4.735295,4.514616,4.735799,-16.777336,63.19642
0.94,1.927842,-0.253798,2.407763,-1.165614,1.29802,5.674446,2.928942,75.638409,97.305313,-150.984904
0.95,0.0,-0.240566,2.463603,-1.132223,1.348191,5.48632,3.756485,4.969041,-20.949968,84.916689
0.96,0.0,-0.226837,2.517345,-1.09034,1.397432,5.254954,4.62745,4.883453,-25.322501,89.271373
0.97,0.0,-0.21262,2.568556,-1.039529,1.445974,4.979969,5.541749,4.833886,-29.638089,93.558703
0.98,0.0,-0.197918,2.616804,-0.979365,1.49432,4.663064,6.497873,4.849225,-33.660889,97.593547
0.99,0.0,-0.182731,2.661692,-0.909445,1.543274,4.308663,7.491726,4.961142,-37.076055,101.022593
1.0,0.0,-0.167047,2.702879,-0.829434,1.593969,3.924938,8.514158,5.202876,-39.438018,103.152159
1.01,0.0,-0.150841,2.740137,-0.739128,1.647865,3.525534,9.546212,5.606366,-40.079874,102.65721
1.02,0.0,-0.134073,2.773409,-0.638597,1.706707,3.132387,10.550839,6.193843,-37.992942,97.176972
1.03,0.0,-0.116684,2.802917,-0.528421,1.772331,2.779565,11.460721,6.95612,-31.770174,83.015635
1.04,0.0,-0.098599,2.829297,-0.410057,1.846158,2.516239,12.16655,7.810089,-19.90898,55.72804
1.05,0.0,-0.079733,2.853743,-0.286262,1.928203,2.402848,12.521295,8.551821,-1.933711,12.941653
1.06,0.0,-0.060016,2.878037,-0.161285,2.01588,2.492088,12.384741,8.881994,19.887664,-40.868477
1.07,0.0,-0.039415,2.904317,-0.040404,2.103786,2.797982,11.704444,8.576513,40.381342,-93.267917
1.08,0.0,-0.017961,2.93459,0.071251,2.185451,3.2801,10.563115,7.662511,54.56821,-131.590061
1.09,0.0,0.004256,2.970258,0.169891,2.255804,3.863906,9.131771,6.360196,60.850557,-151.563017
1.1,0.0,0.027108,3.011959,0.253493,2.312096,4.475961,7.580266,4.880436,60.660426,-156.715977
1.11,0.0,0.050447,3.059691,0.321501,2.353161,5.063108,6.0281,3.325603,56.263685,-152.644216
1.12,0.0,0.074118,3.113028,0.37429,2.378403,5.592908,4.544754,1.717483,49.443802,-143.505866
1.13,0.0,0.097961,3.171296,0.412755,2.387286,6.047246,3.168118,0.054657,41.31654,-131.560824
1.14,0.0,0.121808,3.233689,0.438083,2.379303,6.416696,1.920357,-1.650861,32.553657,-117.838364
1.15,0.0,0.14549,3.299333,0.451643,2.354199,6.697269,0.816617,-3.360602,23.602869,-102.812216
1.16,0.0,0.168836,3.367337,0.454935,2.31223,6.888888,-0.131767,-5.012041,14.813252,-86.822727
1.17,0.0,0.191681,3.436824,0.449553,2.254352,6.994702,-0.917108,-6.529664,6.484884,-70.278164
1.18,0.0,0.213875,3.506964,0.437148,2.182282,7.020652,-1.536404,-7.83963,-1.124588,-53.706415
1.19,0.0,0.235287,3.576998,0.419371,2.098406,6.974996,-1.992394,-8.883743,-7.811987,-37.714735
1.2,0.0,0.255813,3.646258,0.397816,2.005571,6.867688,-2.293938,-9.629199,-13.443722,-22.903621
1.21,0.0,0.275379,3.714183,0.37396,1.906807,6.709626,-2.455475,-10.072081,-17.964723,-9.774277
1.22,0.0,0.29394,3.780319,0.349112,1.805048,6.511869,-2.495654,-10.234544,-21.396702,1.339487
1.23,0.0,0.311479,3.844323,0.324381,1.702905,6.284922,-2.435492,-10.157459,-23.825528,10.298109
1.24,0.0,0.328004,3.905951,0.300665,1.602525,6.03819,-2.296469,-9.891266,-25.381101,17.141763
1.25,0.0,0.34354,3.965047,0.278647,1.505536,5.779654,-2.098934,-9.487591,-26.214987,22.047349
1.26,0.0,0.358129,4.021527,0.25882,1.413075,5.515755,-1.861005,-8.993219,-26.480725,25.274755
1.27,0.0,0.371819,4.075361,0.24151,1.325846,5.251449,-1.597998,-8.446833,-26.319754,27.117267
1.28,0.0,0.384665,4.126567,0.226902,1.244214,4.990374,-1.322292,-7.878081,-25.853557,27.864355
1.29,0.0,0.396723,4.175188,0.215074,1.168289,4.735069,-1.043492,-7.308187,-25.181039,27.7787
1.3,0.0,0.40805,4.221293,0.206019,1.098007,4.487191,-0.768763,-6.751338,-24.379417,27.085299
1.31,0.0,0.418701,4.26496,0.199668,1.03319,4.247726,-0.503222,-6.216283,-23.507006,25.969021
1.32,0.0,0.428731,4.306277,0.195912,0.973593,4.017154,-0.250331,-5.707826,-22.606667,24.577141
1.33,0.0,0.43819,4.345333,0.194612,0.918938,3.795592,-0.012245,-5.228071,-21.709174,23.024193
1.34,0.0,0.447125,4.382218,0.195614,0.868934,3.582897,0.20988,-4.777364,-20.836124,21.397465
1.35,0.0,0.455583,4.41702,0.198755,0.823296,3.378747,0.415651,-4.354997,-20.002281,19.762217
1.36,0.0,0.463605,4.44982,0.203873,0.781744,3.182695,0.605234,-3.959682,-19.217367,18.166201
1.37,0.0,0.47123,4.480699,0.210807,0.744017,2.994222,0.779202,-3.589876,-18.487384,16.643376
1.38,0.0,0.478497,4.509728,0.219407,0.709867,2.812759,0.938408,-3.243982,-17.815578,15.216888
1.39,0.0,0.485439,4.536975,0.22953,0.679062,2.637716,1.083897,-2.920468,-17.20313,13.901405
1.4,0.0,0.492089,4.562502,0.241043,0.651387,2.468503,1.216823,-2.617933,-16.649656,12.704955
1.41,1.229911,0.50015,4.587482,0.250775,0.961062,2.523084,0.737254,31.020522,4.114029,-45.604858
1.42,0.0,0.509642,4.611818,0.258978,0.9379,2.34509,0.901183,-2.174272,-17.530694,15.788571
1.43,0.0,0.518917,4.634401,0.26876,0.917504,2.172324,1.0533,-1.908314,-17.030102,14.649773
1.44,0.0,0.528001,4.655281,0.280007,0.899666,2.004344,1.194473,-1.662627,-16.573207,13.600504
1.45,0.0,0.536918,4.674503,0.292616,0.884188,1.840719,1.325612,-1.435994,-16.158646,12.642764
1.46,0.0,0.545692,4.692108,0.306489,0.870886,1.681037,1.447628,-1.227348,-15.784445,11.775444
1.47,0.0,0.554343,4.708135,0.321541,0.859584,1.524904,1.561409,-1.035757,-15.448178,10.995015
1.48,0.0,0.56289,4.722617,0.337693,0.850116,1.371956,1.667799,-0.860405,-15.147093,10.296099
1.49,0.0,0.571351,4.735584,0.354875,0.842324,1.221855,1.767579,-0.700577,-14.878234,9.671953
1.5,0.0,0.579741,4.747063,0.373025,0.836055,1.074295,1.861461,-0.555639,-14.638536,9.114882
1.51,0.0,0.588076,4.757077,0.392086,0.831163,0.928998,1.950072,-0.425021,-14.424919,8.616581
