time,action,Xpos,Xth1,Xth2,Xvelocity,Xth1_dot,Xth2_dot,Xddx,Xddth1,Xddth2
0.0,0.328686,0.064397,3.127506,3.112836,0.100912,0.186827,-0.267622,13.976833,28.397996,-22.11565
0.01,0.0,-0.092997,3.133413,3.082264,-0.133064,-0.072535,-0.209693,0.014298,-0.857566,-1.935415
0.02,0.0,-0.077184,-3.080958,-3.139722,-0.020349,0.193716,0.073989,-0.354218,-1.920234,1.474129
0.03,0.0,0.067569,-3.117761,-3.119567,0.06376,-0.129413,-0.064818,-0.126718,-0.33422,1.229206
0.04,0.0,0.076065,-3.050616,3.124399,-0.151802,-0.129061,0.046583,-0.535587,-3.219999,1.620968
0.05,0.0,-0.009536,3.086228,-3.074113,0.042051,-0.009515,0.184228,0.3604,3.044726,0.675713
0.06,0.0,0.011504,-3.084671,3.115878,-0.031988,0.060475,0.008416,-0.346948,-2.317319,0.574088
0.07,0.0,0.035576,3.131337,-3.051151,0.097075,0.08077,0.0174,0.109214,2.031016,2.437284
0.08,0.0,-0.061782,-3.086378,3.074883,-0.013812,-0.021507,0.041376,-0.357769,-3.027781,-0.681882
0.09,0.0,-0.03192,-3.081277,-3.106526,-0.028713,0.124543,-0.039549,-0.333518,-1.270028,2.467677
0.1,0.0,0.053245,3.081618,3.114302,0.051536,0.017021,-0.177118,0.332979,1.399431,-2.203929
0.11,0.0,0.015595,-3.126519,-3.050011,-0.044508,0.054962,0.112508,-0.036147,1.242867,3.056001
0.12,0.0,0.012124,-3.087265,-3.045758,0.130689,0.053795,0.225612,-0.261195,0.058951,4.083196
0.13,0.0,0.043287,-3.08498,-3.103009,0.007523,0.06223,0.080265,-0.308619,-1.082064,2.471686
0.14,0.0,0.020063,3.065523,3.041645,-0.006806,0.06569,-0.0618,0.383453,0.543924,-4.724291
0.15,0.0,0.002174,-3.050803,-3.05456,-0.026362,-0.027995,0.29599,-0.473282,-1.258456,4.65579
0.16,0.0,-0.066332,-3.076582,3.059942,0.094412,0.023445,-0.03923,-0.422714,-3.614536,-0.878138
0.17,0.0,-0.032021,3.107149,-3.089322,-0.113136,0.033789,-0.06572,0.230298,2.09887,0.749309
0.18,0.0,0.071461,3.066411,3.119848,-0.056908,-0.035924,0.072928,0.426496,1.991704,-2.421942
0.19,0.0,-0.024439,-3.115737,3.043702,-0.135581,0.118147,0.149809,-0.20384,-2.673685,-2.304747
0.2,0.0,-0.006357,3.11838,-3.106555,-0.02888,-0.014123,0.020853,0.156033,1.415833,0.494548
0.21,0.0,0.057431,-3.057619,-3.057456,-0.150035,-0.036451,0.056737,-0.43771,-1.088166,4.445341
0.22,0.0,-0.098765,-3.131493,3.068428,-0.010412,0.005743,0.005579,-0.099955,-1.713766,-1.936621
0.23,0.0,-0.017073,3.136621,3.09321,-0.073472,-0.069102,0.043506,0.002967,-0.760078,-1.564781
0.24,0.0,-0.024195,3.07135,3.115467,-0.146465,0.189627,-0.078261,0.393729,1.738261,-2.425345
0.25,0.0,-0.085019,3.04412,-3.085917,-0.003559,-0.139435,0.2086,0.596525,4.161138,-0.664252
0.26,0.0,-0.029967,-3.114021,3.097681,-0.11991,-0.04668,-0.179722,-0.186008,-1.714759,-0.637544
0.27,0.0,-0.048402,3.106042,3.073424,0.08014,0.123516,0.011585,0.167858,-0.166755,-2.867345
0.28,0.0,-0.069404,3.059062,3.093029,0.131408,0.077141,-0.04201,0.450687,1.707066,-3.372747
0.29,0.0,0.072144,3.05196,-3.05632,-0.08342,0.057503,-0.091683,0.562465,4.444967,0.414917
0.3,0.0,0.063839,-3.119908,3.06329,0.206228,0.061509,0.034794,-0.171357,-2.184615,-1.815934
