time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ddq1,ddq2,ddq3,ddq4,ddq5,ddq6,tau1,tau2,tau3,tau4,tau5,tau6
0.0,0.0,1.5,-1.0,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00435351440007648,-6.8903563771229095,-5.396015170495947,-1.323478902257529,-0.0026780180049789937,-0.0011417265697502327
0.01,1.7708475800681193e-06,1.5000016153210425,-0.9999978293208057,-0.5399995399331426,1.854447228216673e-07,7.314154117026778e-09,0.00017708475800681193,0.0001615321042400554,0.00021706791943284148,4.600668573362086e-05,1.854447228216673e-05,7.314154117026778e-07,0.024839521150263763,0.016635997974509494,0.03210939658890381,-0.007640228128892201,0.006042897289027835,0.0129385328107312,0.0029815849683853036,-4.014214927720766,-4.595349687873759,-1.0314483824248244,0.00031949102926509494,-0.00048411806941838376
0.02,-4.1980301389535366e-05,1.4999916680750123,-1.0000201188863744,-0.5400045647231791,-3.876843833412857e-06,-4.338637260013184e-08,-0.004375114896960348,-0.000994724603030746,-0.0022289565568718566,-0.0005024790036503027,-0.0004062288556234524,-5.070052671715861e-06,-0.6555118451017664,-0.10695362645731785,-0.35336054132056777,0.008778924035611091,0.01916166282286058,1.9910796911104534e-05,-0.07568882481354441,-4.096136098105342,-4.660724480292406,-1.0489318225757747,-0.007318642537716214,-0.000592680289672863
0.03,-0.00016412026662735723,1.4999568724336467,-1.0000864417493895,-0.5400200184503218,-1.5424092311719927e-05,-1.9682073559489853e-07,-0.012213996523782186,-0.0034795641365450818,-0.006632286301512085,-0.0015453727142634857,-0.0011547248478307069,-1.534343629947667e-05,-1.1233032188481542,-0.23803461791622257,-0.6171662502050352,-0.05054528947166981,-0.025116242909076547,-0.0006720745555062191,-0.15375447948822452,-4.177487945540449,-4.725698079240052,-1.0662990136193529,-0.01489781049537263,-0.0007004326754886864
0.04,-0.0003870499340988521,1.4998844612344744,-1.0002112983105444,-0.5400496862295993,-3.666945905587884e-05,-4.838173578106957e-07,-0.022292966747149486,-0.007241119917238738,-0.012485656115501578,-0.0029667779277441587,-0.0021245366744158905,-2.8699662221579708e-05,-1.4419477017220568,-0.3694227694069078,-0.8079712355083489,-0.09972397574500347,-0.057477395023145306,-0.0012048992915887347,-0.23063236807452173,-4.257691302576614,-4.7898691359132215,-1.0834347506137556,-0.022361636330398192,-0.0008066251094188692
0.05,-0.0007254916848957064,1.4997625879796819,-1.0004053998227183,-0.5400964441953667,-6.907122418327947e-05,-9.249751981303757e-07,-0.033844175079685436,-0.012187325479245965,-0.0194101512173775,-0.004675796576751593,-0.003240176512740063,-4.4115784031968004e-05,-1.651311054396023,-0.4948782270010108,-0.9457737858232093,-0.137180635762431,-0.07980324385732818,-0.0017015600059229197,-0.3057660371742632,-4.336202039722301,-4.852854472608078,-1.1002305290651668,-0.029656800666632822,-0.0009105697599588805
0.06,-0.0011884630884302669,1.4995805677570762,-1.0006765518976852,-0.5401624560432997,-0.00011352795894008061,-1.5333280208328894e-06,-0.04629714035345603,-0.01820202226057345,-0.02711520749670803,-0.006601184793303176,-0.004445673475680113,-6.083528227025137e-05,-1.7794786342212485,-0.6104185122148328,-1.0435340471099188,-0.16541457310033092,-0.09496702608666663,-0.002251951816076181,-0.37862315291934995,-4.412504836782259,-4.914288302882343,-1.1165837093029571,-0.03673271104751121,-0.001011625084869296
0.07,-0.0017806775906192692,1.4993290097286869,-1.0010302707627248,-0.5402493126413637,-0.00017051729275262205,-2.316239113041739e-06,-0.05922145021890024,-0.025155802838923165,-0.035371886503955986,-0.008685659806396948,-0.005698933381254144,-7.829110922088497e-05,-1.8463738405471448,-0.7136779599663048,-1.1102007727855467,-0.18639040547463548,-0.10509410384097784,-0.002925921887527494,-0.4486954980932295,-4.48611110404085,-4.973821874476162,-1.1323970959519296,-0.04354138744474755,-0.0011091869861142396
0.08,-0.002503542355895382,1.4989998774634536,-1.0014702181076673,-0.5403581316299908,-0.00024019480553458372,-3.2767485868962555e-06,-0.07228647652761128,-0.03291322652333138,-0.043994734494262264,-0.010881898862712258,-0.006967751278196167,-9.605094738545164e-05,-1.866185393986234,-0.8033780583506023,-1.1520448974831414,-0.20150561191781513,-0.11172000879055943,-0.00377269085559484,-0.515500319149709,-4.556558527538317,-5.031123503946116,-1.147578765109853,-0.05003747317276005,-0.001202683919304313
0.09,-0.0033558737150873237,1.4985865016938353,-1.0019985126538673,-0.5404896297220594,-0.0003224648754673151,-4.414533926829621e-06,-0.0852331359191942,-0.04133757696182905,-0.052829454619993416,-0.013149809206855857,-0.008227006993273136,-0.00011377853399333648,-1.8490819136640524,-0.8789627215897191,-1.1735218577064097,-0.2117608116327201,-0.11594505065320604,-0.004822550928734959,-0.5785824332523973,-4.623411159441359,-5.085878901669109,-1.1620420381221779,-0.05617832169072452,-0.0012915743006693895
