time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4,noise5,acc,angular_acc
0.0,0.0,0.00195,-0.270007,0.091058,-0.050567,0.003912,-0.272531,0.105016,-0.200999,0.528982,0.559952,-1.596021,-0.372644,2.632556,0.686174,-7.410651
0.02,0.0,0.003912,-0.272531,0.105016,-0.200999,0.006148,-0.278022,0.118549,-0.347583,1.149853,-0.96708,2.041694,-0.288153,0.346767,0.66802,-7.260317
0.04,0.0,0.006148,-0.278022,0.118549,-0.347583,0.008652,-0.28642,0.131776,-0.49196,0.182203,1.524578,-3.097755,-0.673078,-0.758106,0.655477,-7.189103
0.06,0.0,0.008652,-0.28642,0.131776,-0.49196,0.011418,-0.297696,0.144802,-0.635656,0.175445,1.717155,1.040984,-1.156738,-0.767363,0.647766,-7.191645
0.08,0.0,0.011418,-0.297696,0.144802,-0.635656,0.014443,-0.311851,0.157714,-0.780097,-1.12216,-1.378449,0.647278,0.416019,1.325995,0.643966,-7.262792
0.1,0.0,0.014443,-0.311851,0.157714,-0.780097,0.017726,-0.328913,0.170581,-0.926603,0.3969,-1.798365,-0.754767,-0.081492,1.87844,0.642986,-7.397487
0.12,0.0,0.017726,-0.328913,0.170581,-0.926603,0.021266,-0.348937,0.183445,-1.076394,1.804341,-1.128526,-0.400922,-0.02045,1.161832,0.643538,-7.590613
0.14,0.0,0.021266,-0.348937,0.183445,-1.076394,0.025064,-0.371999,0.196324,-1.230588,0.09835,-1.160507,-0.323118,-0.923094,0.309843,0.644092,-7.836825
0.16,0.0,0.025064,-0.371999,0.196324,-1.230588,0.029119,-0.398197,0.209198,-1.390188,-0.2795,-1.104915,-0.906086,0.475915,1.00838,0.642833,-8.130377
0.18,0.0,0.029119,-0.398197,0.209198,-1.390188,0.033432,-0.427648,0.222012,-1.55608,1.46435,-1.024431,0.743628,-0.199731,0.101438,0.637612,-8.464963
0.2,0.0,0.033432,-0.427648,0.222012,-1.55608,0.037999,-0.460487,0.23466,-1.729016,0.797785,-0.879562,0.511741,1.380132,0.750787,0.625909,-8.833603
0.22,0.0,0.037999,-0.460487,0.23466,-1.729016,0.042816,-0.49686,0.246987,-1.909602,-0.762447,-2.480307,-0.118838,-0.391313,0.333863,0.604812,-9.228594
0.24,0.0,0.042816,-0.49686,0.246987,-1.909602,0.047875,-0.536925,0.25877,-2.098283,0.629727,-0.589349,-1.123369,0.341565,0.437556,0.571018,-9.641568
0.26,0.0,0.047875,-0.536925,0.25877,-2.098283,0.053161,-0.580847,0.26972,-2.295329,0.242266,-1.320727,1.100157,1.655905,0.088283,0.520868,-10.063684
0.28,0.0,0.053161,-0.580847,0.26972,-2.295329,0.058655,-0.628794,0.279472,-2.500835,1.633851,-0.966,0.526236,0.652585,0.17473,0.45043,-10.485981
0.3,0.0,0.058655,-0.628794,0.279472,-2.500835,0.064329,-0.680936,0.287578,-2.714717,0.037922,1.607264,1.127813,-1.667145,-0.298488,0.355626,-10.899901
0.32,0.0,0.064329,-0.680936,0.287578,-2.714717,0.070144,-0.737437,0.29351,-2.936731,0.447772,0.668243,-0.277073,0.526092,-0.02505,0.232414,-11.297948
0.34,0.0,0.070144,-0.737437,0.29351,-2.936731,0.076051,-0.798457,0.296663,-3.166498,-0.911093,-0.843652,0.064714,0.217024,-0.317865,0.077006,-11.674428
0.36,0.0,0.076051,-0.798457,0.296663,-3.166498,0.081988,-0.864146,0.296358,-3.403551,0.913566,-0.562576,-0.475319,-2.69833,-0.815838,-0.11389,-12.026157
0.38,0.0,0.081988,-0.864146,0.296358,-3.403551,0.087877,-0.934644,0.291858,-3.647387,-1.850004,0.009107,-1.288537,0.291582,0.129866,-0.342828,-12.353021
0.4,0.0,0.087877,-0.934644,0.291858,-3.647387,0.093629,-1.010084,0.282385,-3.897536,-0.601061,-0.103874,2.788787,-0.857758,0.106656,-0.611394,-12.658213
0.42,0.0,0.093629,-1.010084,0.282385,-3.897536,0.099134,-1.090585,0.267139,-4.153622,-0.811145,0.222006,-1.55611,0.783361,-0.586632,-0.920011,-12.948039
0.44,0.0,0.099134,-1.090585,0.267139,-4.153622,0.10427,-1.176266,0.245328,-4.415421,0.920837,0.515243,1.078514,-0.193948,0.336346,-1.267754,-13.231144
0.46,0.0,0.10427,-1.176266,0.245328,-4.415421,0.108898,-1.26724,0.216189,-4.682893,-1.307958,0.783906,0.8407,-0.909069,-0.736207,-1.652146,-13.517069
0.48,0.0,0.108898,-1.26724,0.216189,-4.682893,0.112865,-1.363621,0.17903,-4.956183,-0.254167,-0.380161,0.132653,1.213417,0.422807,-2.068844,-13.813995
0.5,0.0,0.112865,-1.363621,0.17903,-4.956183,0.116002,-1.465528,0.133268,-5.235555,-1.405235,0.126028,-0.742038,1.381792,0.552136,-2.511115,-14.125434
0.52,0.0,0.116002,-1.465528,0.133268,-5.235555,0.118135,-1.573085,0.078485,-5.521263,-0.68091,0.942257,1.64122,0.551708,0.230934,-2.968911,-14.445451
0.54,0.0,0.118135,-1.573085,0.078485,-5.521263,0.11908,-1.686421,0.014509,-5.813289,0.489476,-0.206777,1.260852,-0.07279,1.730741,-3.427368,-14.751712
0.56,0.0,0.11908,-1.686421,0.014509,-5.813289,0.118655,-1.805655,-0.058465,-6.110926,0.467378,0.417256,0.004804,1.10338,-0.063152,-3.864475,-14.995434
0.58,0.0,0.118655,-1.805655,-0.058465,-6.110926,0.116686,-1.930882,-0.139708,-6.412111,2.561646,1.149433,1.453915,0.91579,0.738722,-4.247801,-15.087355
0.6,0.0,0.116686,-1.930882,-0.139708,-6.412111,0.113022,-2.062135,-0.227701,-6.712445,1.352033,0.151629,0.013711,0.164726,-0.528522,-4.530506,-14.880008
0.62,0.0,0.113022,-2.062135,-0.227701,-6.712445,0.10755,-2.199322,-0.319815,-7.00385,-0.338343,0.91967,0.265693,-1.726865,-0.666206,-4.64793,-14.150465
0.64,0.0,0.10755,-2.199322,-0.319815,-7.00385,0.100229,-2.342142,-0.41195,-7.272974,-0.331138,0.374775,-0.650569,-0.026281,0.79216,-4.518228,-12.596589
0.66,0.0,0.100229,-2.342142,-0.41195,-7.272974,0.091111,-2.489961,-0.498275,-7.499882,0.72419,-0.142436,0.761718,-0.501533,1.529406,-4.053816,-9.874106
0.68,0.0,0.091111,-2.489961,-0.498275,-7.499882,0.080385,-2.641681,-0.571389,-7.658198,1.288533,1.133817,-0.508817,0.756115,0.641026,-3.191753,-5.710449
0.7,0.0,0.080385,-2.641681,-0.571389,-7.658198,0.068397,-2.795634,-0.623277,-7.718408,1.156591,0.422824,-0.391651,0.402917,2.01462,-1.942953,-0.101102
0.72,0.0,0.068397,-2.795634,-0.623277,-7.718408,0.055642,-2.94959,-0.647276,-7.655232,-0.689149,0.970317,0.314039,-1.957868,-0.969082,-0.435291,6.506846
0.74,0.0,0.055642,-2.94959,-0.647276,-7.655232,0.042713,-3.100936,-0.640428,-7.456928,0.861777,-1.837955,0.533189,0.736287,0.334354,1.097032,13.239909
0.76,0.0,0.042713,-3.100936,-0.640428,-7.456928,0.030217,-3.247011,-0.60486,-7.130954,2.127726,-2.197261,-0.488839,-0.381498,-0.932811,2.399016,19.128143
0.78,0.0,0.030217,-3.247011,-0.60486,-7.130954,0.018668,-3.385481,-0.547085,-6.701492,1.366152,-0.804601,-0.366082,0.797214,-0.55602,3.301631,23.527631
