time,action,Xpos,Xangle,Xvelocity,Xangular_velocity,Ypos,Yangle,Yvelocity,Yangular_velocity,noise1,noise2,noise3,noise4
0.0,-2.914556,-0.078462,0.039514,0.037274,-0.039933,-0.0826,0.050276,-0.450266,1.108858,-0.088257,-2.317663,0.095518,1.792795
0.02,0.0,-0.0826,0.050276,-0.450266,1.108858,-0.091587,0.072338,-0.448642,1.099631,0.847528,0.422756,-0.38336,0.123288
0.04,0.0,-0.091587,0.072338,-0.448642,1.099631,-0.100554,0.094348,-0.448234,1.103469,0.538003,-0.708492,0.924568,0.025686
0.06,0.0,-0.100554,0.094348,-0.448234,1.103469,-0.109524,0.116561,-0.448979,1.119828,0.904798,-1.126628,1.669465,-0.742756
0.08,0.0,-0.109524,0.116561,-0.448979,1.119828,-0.11852,0.139222,-0.45082,1.148301,-0.184061,-0.269442,-1.731441,-0.407823
0.1,0.0,-0.11852,0.139222,-0.45082,1.148301,-0.127564,0.162571,-0.453705,1.18861,0.892874,0.317797,0.895214,0.759108
0.12,0.0,-0.127564,0.162571,-0.453705,1.18861,-0.136675,0.186844,-0.457587,1.240582,0.8573,0.173981,0.390558,-0.697557
0.14,0.0,-0.136675,0.186844,-0.457587,1.240582,-0.145874,0.212272,-0.462417,1.304141,-0.792838,-0.566728,0.456078,-0.385852
0.16,0.0,-0.145874,0.212272,-0.462417,1.304141,-0.155178,0.239087,-0.468143,1.379288,-0.204752,1.665696,1.569576,-0.048843
0.18,0.0,-0.155178,0.239087,-0.468143,1.379288,-0.164605,0.267521,-0.474705,1.466082,-0.318297,-0.208852,-0.801896,-0.417138
0.2,0.0,-0.164605,0.267521,-0.474705,1.466082,-0.174171,0.297808,-0.482028,1.564623,0.489551,1.206871,-0.58468,0.711989
0.22,0.0,-0.174171,0.297808,-0.482028,1.564623,-0.18389,0.330185,-0.490018,1.675027,1.602383,0.823942,1.653904,-0.593817
0.24,0.0,-0.18389,0.330185,-0.490018,1.675027,-0.193775,0.364889,-0.498551,1.797407,1.149052,-0.471486,-0.818744,-0.503758
