time,brake_pedal,gas_pedal,speed,acc,final_brake_tw_rr,final_brake_tw_rl,final_brake_tw_fr,final_brake_tw_fl,motor_torque,f_rot_speed,r_rot_speed,ABS_FRONT_ON_OFF,ABS_REAR_ON_OFF
0.05,0,0.00753877227151414,13.8174730834178,0.743222856065434,0,0,0,0,0.165820937038457,121.535667868664,120.861054705367,0,0
0.1,0.0012835229092263,0.0154553270508292,13.6923606740261,-0.0201850387320836,0,0,0,0,0.41411744791919,120.798650595119,122.118463487075,0,0
0.15,0,0.00670734316854174,13.8022983975598,-0.492703812912084,0,0,0,0,0.679548300811747,121.896435548611,120.919771786016,0,0
0.2,0.011043368438885,0.00276431770353819,13.8197859793953,-0.104131373142503,0,0,0,0,0.951008890378991,122.336898461123,121.192346230518,0,0
0.25,0,0.0206472499493982,14.0856989132982,-0.0578657389823327,0,0,0,0,1.23299802844122,120.823857461712,121.665555712697,0,0
0.3,0.0011105647456707,0.0226591228346059,13.8457719101428,-0.163608618784249,0,0,0,0,1.52790142962505,121.275655078151,120.924163653735,0,0
0.35,0,0.0188705045477895,13.7577308091239,-0.251187969982299,0,0,0,0,1.83591974763801,120.811811773695,120.931121482934,0,0
0.4,0,0.0036494998635494,13.7994520892948,-0.309991141167582,0,0,0,0,2.15648971884167,120.845112078739,121.329063934513,0,0
0.45,0,0.0165925747878194,13.7070274593326,-0.296236728273529,0,0,0,0,2.48889171455012,121.491878130567,120.987721491351,0,0
0.5,0.0150415933307218,0.0145452116338302,13.9889662230514,-0.127792704612104,0,0,0,0,2.83242119699993,120.379949439453,120.835117163347,0,0
0.55,0.0116732251814359,0,13.9264660875712,-0.30797211346713,0,0,0,0,3.1864242337088,120.492948328372,120.3776005268,0,0
0.6,0,0,13.7276707601073,-0.225399919362565,0,0,0,0,3.55030021747779,121.218920495144,120.845952094066,0,0
0.65,0,0.00350901151307922,13.743720877302,0.41331331730909,0,0,0,0,3.92349821533904,120.508661929393,120.752998574307,0,0
0.7,0,0.0113264829067181,14.000473219204,-0.387314218176101,0,0,0,0,4.30551254581206,120.497057012584,121.119624793871,0,0
0.75,0.00104823482986691,0.00642119488728166,13.8885996434187,-0.366986151758795,0,0,0,0,4.69587858883445,120.34903145994,120.247811063663,0,0
0.8,0,0.0311085704202065,13.8668167621448,0.275490636949335,0,0,0,0,5.09416896125035,120.859058473437,120.713864734999,0,0
0.85,0.00769789631842188,0.0180244693724797,13.7266818266554,0.117388596987605,0,0,0,0,5.49999004647648,120.272041649435,121.392226411236,0,0
