time,brake_pedal,gas_pedal,speed,acc,final_brake_tw_rr,final_brake_tw_rl,final_brake_tw_fr,final_brake_tw_fl,motor_torque,f_rot_speed,r_rot_speed,ABS_FRONT_ON_OFF,ABS_REAR_ON_OFF
0.05,0.0172643282390783,0.00374982315992498,13.9652902981359,-0.661003011100816,0,0,0,0,0.165942879460855,120.982141090058,122.24233577485,0,0
0.1,0.00162204515031129,0,13.6100751558938,-0.653120361095831,0,0,0,0,0.414285126941989,121.953464468884,121.781260932913,0,0
0.15,0.000912549218301768,0,13.7953793294254,-0.445388251279475,0,0,0,0,0.679697843834491,122.077015805283,120.48774319673,0,0
0.2,0.00521602363016803,0,14.0126658017995,-0.127158957506676,0,0,0,0,0.951158249311379,120.860478716805,121.503310767013,0,0
0.25,0,0.0317812795236119,13.8909022074985,-0.502765615784996,0,0,0,0,1.23315328127589,121.645741919024,121.366469795191,0,0
0.3,0,0.0111288824607626,13.8651393486181,-0.330726755697115,0,0,0,0,1.52806307465064,121.721666733368,121.306497602235,0,0
0.35,0,0.0087567000237572,13.8267692122674,-0.146724920546194,0,0,0,0,1.83608741431342,120.48244287711,121.405704224564,0,0
0.4,0.00201380780443897,0,13.7920200248166,0.00432080530395461,0,0,0,0,2.15666305785168,122.52766838607,121.509037881829,0,0
0.45,0,0,13.9111263365887,-0.399149991507344,0,0,0,0,2.48907041041583,120.670625885307,121.193918802465,0,0
0.5,0.0018532397350431,0.0028591613334041,13.7901895336566,-0.00204891969170452,0,0,0,0,2.83260494147867,120.441148339709,120.99908469095,0,0
0.55,0.00317407482906068,0.0202155518332007,13.7691917923518,-0.0265424626868414,0,0,0,0,3.18661273065965,120.821259922127,121.31661142939,0,0
0.6,0.0159058468164861,0.0162938473824321,13.8546299903645,-0.0870694186926321,0,0,0,0,3.5504931902542,120.603567906924,120.740703894632,0,0
0.65,0,0.00691983997113173,14.0309646491127,0.249581981628467,0,0,0,0,3.9236954085402,120.751475741463,121.969700083498,0,0
0.7,0,0.0118594355593602,13.8086900253478,-0.565506742431159,0,0,0,0,4.30571372399466,121.595348203334,120.391508216994,0,0
0.75,0.0183575143209334,0.00858932081607105,13.7471382073984,-0.0235908489728698,0,0,0,0,4.69608353461084,120.239187145467,121.139446524312,0,0
0.8,0,0.00208896906254097,13.6857281441134,-0.311017338191637,0,0,0,0,5.09437747352742,120.928553403701,121.865987905425,0,0
0.85,0,0.0226105901186092,13.7482878430996,-0.277175939176525,0,0,0,0,5.50020193889144,120.557322906997,120.327037209429,0,0
0.9,0,0.0322711491015248,13.7278005313356,-0.277643072177455,0,0,0,0,5.91319394758359,121.502590101823,121.189601911282,0,0
0.95,0,0.00829229442194667,13.7672446463028,-0.450538076444404,-0,-0,-0,0,6.33301828283463,120.477310839977,120.889873312984,0,0
1,0.0018735270591994,0.00962482465691632,13.8234314984475,-0.720275965925934,-0,-0,-0,0,6.75936490833448,119.794137729467,120.184130076787,0,0
1.05,0,0.0135571718711205,13.6544506161711,-0.218867460761905,-0,-0,-0,0,7.19194662397602,121.024582726356,120.674310848755,0,0
1.1,0.000612097325412469,0.0324910667840994,13.6349770982519,-0.607001118406606,-0,-0,-0,0,7.63049694070087,120.407917410388,121.189798079619,0,0
1.15,0,0.0221232086029846,13.7730814248169,0.170575288917377,-0,-0,-0,0,8.07476815401649,120.85148989203,120.158819189771,0,0
1.2,0.0155936242319734,0.0209372565605232,13.7514644002329,-0.41312127192295,-0,-0,-0,0,8.52452959766143,121.156327346926,120.247644964932,0,0
1.25,0.0154894460638586,0.030056590375568,13.858940801799,-0.0727340524256138,-0,-0,-0,0,8.97956606062319,120.72498831423,120.812424456382,0,0
1.3,0,0.0224287913387724,13.5723850555035,-0.0426235855963885,-0,-0,-0,0,9.43967635227894,121.434316676528,120.977694045743,0,0
1.35,0,0.040441510466969,13.5255027476749,-0.0441004541863174,-0,-0,-0,0,9.90467200185001,120.103281461481,120.187126590964,0,0
1.4,0.0105915431508287,0.0400981887548308,13.9357434415282,-0.0935237673992591,-0,-0,-0,0,10.3743760796462,120.174228928302,119.581198925091,0,0
1.45,0,0.0289601237134595,14.0844383892714,-0.0471310650691799,-0,-0,-0,0,10.8486221287469,120.231593558441,119.865353567363,0,0
1.5,0,0.0324800128835558,13.6253279845139,-0.489276221069748,-0,-0,-0,0,11.3272531968216,120.871792144754,120.172713439165,0,0
1.55,0.0210897563337153,0.0305823737641425,13.7382258756322,-0.238787762661732,-0,-0,-0,0,11.8101209587494,119.706096281067,120.500075517038,0,0
1.6,0.0128295483222551,0.0272352778472188,13.549170744911,-0.0951359851456758,-0,-0,-0,0,12.2970849215763,120.459141040399,121.130038127039,0,0
1.65,0,0.0340575384617855,13.7181865846558,-0.576513638298572,-0,-0,-0,0,12.7880117041266,120.163496111138,120.840938759849,0,0
1.7,0,0.0378990935841114,13.5533202871477,-0.737934124024305,-0,-0,-0,0,13.2827743843108,120.932231780098,119.597038037313,0,0
1.75,0.0100092563605845,0.0351293283477093,13.8215271606265,0.12559766408747,-0,-0,-0,0,13.7812519078136,120.163047778666,119.819135218887,0,0
1.8,0,0.0595240652607031,13.7907742487312,-0.0810231595150432,-0,-0,-0,0,14.2833285524381,119.887293243179,119.975972929693,0,0
1.85,0,0.0349055261975732,13.6208268206402,0.38786230406214,-0,-0,-0,0,14.788893442915,121.022659525615,120.438390987867,0,0
1.9,0,0.0539528606392776,13.5140802039523,0.456129532882456,-0,-0,-0,0,15.297840111469,121.442330008193,120.573029523062,0,0
1.95,0.0039119300426839,0.0573324040675996,13.9698377671901,0.493071129147616,-0,-0,-0,0,15.8100660998734,121.35088414296,119.777924386575,0,0
2,0.0031833639244709,0.0399544946057549,13.5583511955618,0.0111940375668753,-0,-0,-0,0,16.3254725991217,120.562485833784,119.660555973376,0,0
2.05,0.0100352471431745,0.0523263130058546,13.6467280175776,-0.0533134400028986,-0,-0,-0,0,16.8439641232064,119.88460882638,119.937895205957,0,0
2.1,0.00996121492546411,0.0545532984648077,13.8802886328036,-0.00569897171928817,-0,-0,-0,0,17.3654482138219,120.184616082123,121.149175190036,0,0
2.15,0,0.0573499300021842,13.6799106485479,-0.0108755637509975,-0,-0,-0,0,17.889835173105,120.997832166314,120.356523973613,0,0
2.2,0.0102667482155118,0.0674606336276538,13.5894393770291,0.43784899366756,-0,-0,-0,0,18.4170378217943,120.364456845197,120.294333071311,0,0
2.25,0,0.0669280777332624,13.6365981634911,-0.0518874050453178,-0,-0,-0,0,18.9469712804382,120.471007891029,120.752802291165,0,0
2.3,0.00774094416571012,0.0467048012643217,13.8430205382189,0.0774250135505841,-0,-0,-0,0,19.4795527714948,120.216713460445,120.565777901279,0,0
2.35,0.00980764934466698,0.055185073243524,13.8482805839226,-0.415644311012487,-0,-0,-0,0,20.0147014403752,119.272008539413,119.816812533704,0,0
2.4,0,0.0743913947263669,13.4879480483646,-0.0551380859460386,-0,-0,-0,0,20.5523381936597,119.819493792348,120.668715835806,0,0
2.45,0.0104956441180261,0.0750295015216814,13.6965591953944,-0.147111435837669,-0,-0,-0,0,21.0923855528809,120.82066464329,121.367645126044,0,0
2.5,0,0.070450793283519,13.511890318741,-0.124578492849594,-0,-0,-0,0,21.6347675224196,120.055586967171,120.852348714321,0,0
2.55,0,0.0741729716778196,13.6631732157058,-0.269353063514091,-0,-0,-0,0,22.1794094701921,120.924317591585,120.073770108332,0,0
2.6,0,0.0595160359341904,13.7125616883958,-0.0994281776452136,-0,-0,-0,0,22.726238019935,120.143613385996,120.182217567614,0,0
2.65,0,0.078632376028474,13.6983996348432,-0.00871897638483235,-0,-0,-0,0,23.2751809539984,121.091298408288,120.190720193483,0,0
2.7,0,0.0669485844244408,13.6474225749242,0.0626818682456386,-0,-0,-0,0,23.8261671256668,120.506894654798,120.043584867157,0,0
2.75,0,0.0867119052685782,13.9184654691089,0.29248693988229,-0,-0,-0,0,24.3791263801132,120.429918429708,120.557747439592,0,0
2.8,0.0132606769276414,0.0867020878491241,13.5285183161978,0.384112625643826,-0,-0,-0,0,24.9339894831782,121.071397838332,120.960267930038,0,0
2.85,0.00550872450930289,0.0814290603619377,13.7714508682485,0.075331641909653,-0,-0,-0,0,25.4906880572395,119.547497825939,120.518223976785,0,0
2.9,0,0.0811196242836712,13.6746681147687,0.559171125850627,-0,-0,-0,0,26.0491545235064,119.486145333215,120.476897212336,0,0
2.95,0,0.0886454237203013,13.7205083270464,0.0709296626999643,-0,-0,-0,0,26.6093220501372,120.22484857551,120.778929150937,0,0
3,0,0.0839516743375051,13.5476590717519,-0.108572207369115,-0,-0,-0,0,27.1711245056295,120.583512335469,120.891971629078,0,0
3.05,0,0.0834340034377469,13.7228599874153,0.485936775302577,-0,-0,-0,0,27.7332700951539,120.739231519224,121.971962266887,0,0
3.1,0,0.0915531196068462,13.642245671156,0.369738722863541,-0,-0,-0,0,28.2967259751174,121.520214915057,121.599509437352,0,0
3.15,0,0.0919735416181572,13.8468323521094,0.275405827068482,-0,-0,-0,0,28.8615108876212,120.027630850428,121.546976569308,0,0
3.2,0,0.0826761156797804,13.8180139446307,-0.0920657977536481,-0,-0,-0,0,29.4275688130004,120.423244455158,121.050503173056,0,0
3.25,0,0.101637497988813,13.8328325635423,0.931961843380329,-0,-0,-0,0,29.9948435836408,120.904331699856,121.376186644469,0,0
3.3,0,0.104430236108625,13.7220618300843,-0.0503164494542189,-0,-0,-0,0,30.5632789234375,119.918379993327,119.974013968311,0,0
3.35,0,0.0947034122567473,13.710663880559,0.0783368049967086,-0,-0,-0,0,31.1304678287997,121.406819996026,120.873311756275,0,0
3.4,0.000816633173880361,0.0867845430691343,13.833170121836,0.234326681091117,-0,-0,-0,0,31.6983151536529,120.446781621038,120.655939780903,0,0
3.45,0.0126965060168778,0.10265295717488,14.0194111202955,-0.00430693073248865,-0,-0,-0,0,32.2669390270668,120.850879490604,121.187623477291,0,0
3.5,0,0.111545278512575,13.6552056747399,0.0723952275904635,-0,-0,-0,0,32.8362979115634,120.202770671169,120.055617088503,0,0
3.55,0.000405561211179645,0.0962413468046179,13.9446308967771,0.0495979208970728,-0,-0,-0,0,33.406349003187,120.557179027342,121.324301585251,0,0
